"What is the Oxford 5000?","An expanded core word list for advanced learners of English."
"How many additional words does the Oxford 5000 include compared to the Oxford 3000?","2000 additional words."
"What level of learners is the Oxford 5000 aimed at?","B2-C1 level learners."
"What is the meaning of 'abolish'?","To formally put an end to a system, practice, or institution."
"What part of speech is 'abortion'?","Noun."
"What does 'absence' refer to?","The state of being away or not present."
"What is the adjective form of 'absent'?","Absent is itself an adjective."
"What does 'absorb' mean?","To take in or soak up a substance."
"What is the meaning of 'abstract'?","Existing in thought or as an idea but not having a physical or concrete existence."
"What does 'absurd' mean?","Wildly unreasonable, illogical, or inappropriate."
"What is 'abundance'?","A very large quantity of something."
"What is the meaning of 'abuse'?","To use something to bad effect or for a bad purpose; misuse."
"What is an 'academy'?","A place of study or training in a special field."
"What does 'accelerate' mean?","To increase in speed."
"What is an 'accent'?","A distinctive mode of pronunciation of a language."
"What does 'acceptance' refer to?","The action of consenting to receive or undertake something offered."
"What does 'accessible' mean?","Able to be reached or entered."
"What part of speech is 'accidentally'?","Adverb."
"What does 'accommodate' mean?","To provide space or lodging for someone or something."
"What is the meaning of 'accomplish'?","To achieve or complete successfully."
"What is 'accomplishment'?","Something that has been achieved successfully."
"What does 'accordance' mean?","In a manner conforming with."
"What does 'accordingly' mean?","In a way that is appropriate to the particular circumstances."
"What is 'accountability'?","The fact or condition of being accountable; responsibility."
"What does 'accountable' mean?","Required or expected to justify actions or decisions."
"What is an 'accountant'?","A person whose job is to keep or inspect financial accounts."
"What does 'accumulate' mean?","To gather or collect, often in gradual degrees."
"What is 'accumulation'?","The acquisition or gradual gathering of something."
"What is 'accuracy'?","The quality or state of being correct or precise."
"What does 'accurately' mean?","In a way that is correct in all details; exactly."
"What is an 'accusation'?","A charge of wrongdoing."
"What does 'accused' refer to?","A person who is charged with a crime."
"What is 'acid'?","A chemical substance that neutralizes alkalis, dissolves some metals, and turns litmus red."
"What does 'acquisition' refer to?","An asset or object bought or obtained."
"What is an 'acre'?","A unit of land area equal to 4,840 square yards."
"What does 'activate' mean?","To make something active or operative."
"What is 'activation'?","The action or process of making something active."
"What is an 'activist'?","A person who campaigns for some kind of social change."
"What does 'acute' mean?","Having or showing a perceptive understanding or insight."
"What is 'adaptation'?","The process of change by which an organism or species becomes better suited to its environment."
"What does 'addiction' refer to?","The fact or condition of being addicted to a particular substance or activity."
"What does 'additionally' mean?","In addition; also."
"What is 'adequate'?","Satisfactory or acceptable in quality or quantity."
"What does 'adequately' mean?","In a way that is satisfactory or acceptable."
"What does 'adhere' mean?","To stick fast to a surface or substance."
"What does 'adjacent' mean?","Next to or adjoining something else."
"What is 'adjust'?","To alter or move something slightly to achieve the desired fit, appearance, or result."
"What is 'adjustment'?","A small alteration or movement made to achieve a desired fit, appearance, or result."
"What does 'administer' mean?","To manage and be responsible for the running of a business, organization, etc."
"What is 'administrative'?","Relating to the running of a business, organization, etc."
"What is an 'administrator'?","A person responsible for running a business, organization, etc."
"What does 'admission' mean?","The process of allowing someone to enter a place or organization."
"What is an 'adolescent'?","A young person in the process of developing from a child into an adult."
"What does 'adoption' refer to?","The action or fact of adopting or being adopted."
"What does 'adverse' mean?","Preventing success or development; harmful; unfavorable."
"What is an 'advocate'?","A person who publicly supports or recommends a particular cause or policy."
"What does 'aesthetic' refer to?","Concerned with beauty or the appreciation of beauty."
"What is 'affection'?","A gentle feeling of fondness or liking."
"What does 'affordable' mean?","Inexpensive; reasonably priced."
"What is 'aftermath'?","The consequences or aftereffects of a significant event."
"What does 'aggression' mean?","Hostile or violent behavior or attitudes toward another."
"What is 'agricultural'?","Relating to agriculture."
